th1,th2,th3,in1,in2,in3,mi1,mi2,mi3,ri1,ri2,ri3,pi1,pi2,pi3,pnx,pny,pnz,thumb_index_tip_dist,thumb_middle_tip_dist,hand_side,th_open,in_open,mi_open,ri_open,pi_open,ti_touch,tm_touch
26.704519271850586,4.058741569519043,15.655555725097656,5.7090864181518555,4.480440139770508,5.121910095214844,4.442686080932617,1.9439337253570557,3.962322473526001,1.1081082820892334,2.665445566177368,3.649665594100952,2.8082964420318604,7.398355960845947,6.6278510093688965,133.48031616210938,107.31991577148438,-469.7503967285156,1.7373082637786865,2.3570923805236816,0.0,1,1,1,1,1,0,0
25.377704620361328,4.241044521331787,13.412155151367188,5.98777961730957,4.257138729095459,5.2284321784973145,4.956289768218994,2.0186781883239746,4.049658298492432,1.185709834098816,2.8830814361572266,3.8138394355773926,2.5852162837982178,7.777943134307861,6.905106067657471,134.35008239746094,110.2497329711914,-468.82305908203125,1.7416043281555176,2.3504981994628906,0.0,1,1,1,1,1,0,0
26.765119552612305,3.779120683670044,15.360271453857422,5.881784439086914,4.717134475708008,4.9681010246276855,4.878698825836182,1.9145002365112305,3.789546012878418,1.238882064819336,2.6334166526794434,3.6790027618408203,3.1796460151672363,7.776431560516357,6.8320088386535645,131.5501708984375,108.26751708984375,-470.07733154296875,1.7517008781433105,2.3682501316070557,0.0,1,1,1,1,1,0,0
26.333402633666992,3.978388547897339,14.184685707092285,5.8105926513671875,4.28969144821167,5.135871410369873,4.731496810913086,2.2168073654174805,3.9772303104400635,0.9188267588615417,2.7101943492889404,3.617912530899048,2.7263152599334717,7.201095104217529,6.644184112548828,135.29762268066406,106.18647003173828,-469.4880065917969,1.7395867109298706,2.3446826934814453,0.0,1,1,1,1,1,0,0
26.40830421447754,3.9150702953338623,13.337867736816406,5.472495079040527,4.447054386138916,5.118485450744629,4.148087024688721,2.028510570526123,3.8098866939544678,1.325019359588623,2.8871030807495117,3.649826765060425,2.098754644393921,7.322876930236816,6.937802314758301,129.11155700683594,108.85177612304688,-470.6181945800781,1.735507607460022,2.352576971054077,0.0,1,1,1,1,1,0,0
26.2669677734375,4.094382286071777,13.635499000549316,5.779887676239014,4.3934125900268555,4.872455596923828,4.794036865234375,1.8879945278167725,3.7654690742492676,0.9755136370658875,2.4961555004119873,3.6221842765808105,2.4006266593933105,7.573855876922607,6.446075439453125,132.54476928710938,110.55913543701172,-469.26385498046875,1.7505500316619873,2.364370107650757,0.0,1,1,1,1,1,0,0
26.9688720703125,4.339597225189209,14.376903533935547,5.685035705566406,4.571162223815918,5.148836612701416,4.814918518066406,2.22239351272583,4.0500688552856445,1.1025309562683105,3.0676817893981934,3.4674644470214844,3.2989659309387207,7.315780162811279,6.650694847106934,128.47410583496094,103.48551940917969,-472.001220703125,1.762082576751709,2.389845609664917,0.0,1,1,1,1,1,0,0
26.81957244873047,4.4259161949157715,14.328682899475098,5.702427864074707,4.4649200439453125,5.028140544891357,5.1355743408203125,2.239936113357544,3.8236446380615234,0.9834843873977661,3.039307117462158,3.432497978210449,3.443133592605591,7.2675299644470215,6.7018914222717285,130.2215576171875,104.4655990600586,-471.3059387207031,1.762181282043457,2.3873116970062256,0.0,1,1,1,1,1,0,0
26.375972747802734,4.564103126525879,13.275510787963867,5.790621280670166,4.2130327224731445,5.22459077835083,4.547651767730713,2.3128602504730225,3.9158523082733154,0.9827279448509216,2.898488998413086,3.4828941822052,2.2363994121551514,7.156392574310303,6.628424167633057,130.54954528808594,104.43708038330078,-471.22149658203125,1.7473318576812744,2.360150098800659,0.0,1,1,1,1,1,0,0
25.55951690673828,4.1201372146606445,13.098081588745117,6.0157694816589355,4.4369964599609375,5.262160301208496,5.070316791534424,2.474912643432617,4.118037700653076,1.4035128355026245,3.0548086166381836,3.6881682872772217,2.702913761138916,7.705339431762695,6.713265419006348,130.38198852539062,101.8667984008789,-471.83013916015625,1.7567452192306519,2.3728041648864746,0.0,1,1,1,1,1,0,0
